GPA,Study_Hours,Preferred_Subject,Learning_Style,Career_Aspiration,Interest_Area,Interest_in_Subjects,Recommended_Course,Study_Habits
1.86,15,Business,Reading/Writing,Entrepreneur,Education,Low,Graphic Design,Irregular
2.69,22,History,Auditory,Doctor,Health,Medium,Data Science,Organized
3.63,31,Math,Kinesthetic,Scientist,Technology,Medium,Data Science,Consistent
3.11,38,Business,Kinesthetic,Entrepreneur,Health,High,Education,Last-Minute
3.02,25,Business,Visual,Doctor,Arts,Medium,Finance,Last-Minute
3.49,16,Business,Kinesthetic,Artist,Technology,Low,Medicine,Irregular
1.2,15,Business,Auditory,Artist,Arts,Medium,Education,Consistent
2.83,16,History,Reading/Writing,Doctor,Finance,Low,Data Science,Irregular
3.61,26,Science,Auditory,Artist,Technology,Medium,Finance,Organized
2.62,11,Math,Reading/Writing,Engineer,Arts,Low,Data Science,Organized
3.94,26,Business,Reading/Writing,Scientist,Technology,Low,Education,Organized
1.71,10,Science,Kinesthetic,Engineer,Arts,Medium,Finance,Consistent
1.01,37,Art,Auditory,Artist,Finance,High,Finance,Organized
1.63,13,Science,Reading/Writing,Entrepreneur,Health,High,Data Science,Irregular
2.48,20,Business,Visual,Doctor,Arts,Medium,Data Science,Last-Minute
3.02,20,History,Reading/Writing,Entrepreneur,Arts,Medium,Graphic Design,Organized
2.16,23,History,Visual,Artist,Education,Low,Finance,Last-Minute
2.64,14,Business,Auditory,Doctor,Finance,High,Finance,Needs Improvement
2.74,30,History,Visual,Doctor,Education,Low,Education,Consistent
3.71,21,History,Visual,Engineer,Finance,Medium,Finance,Irregular
1.97,14,Business,Kinesthetic,Scientist,Technology,Low,Graphic Design,Consistent
3.29,15,Science,Kinesthetic,Scientist,Health,Low,Data Science,Needs Improvement
1.43,5,Art,Reading/Writing,Doctor,Education,Medium,Medicine,Irregular
2.32,38,History,Kinesthetic,Entrepreneur,Technology,Low,Data Science,Last-Minute
2.63,21,History,Kinesthetic,Entrepreneur,Education,High,Data Science,Organized
3.33,9,History,Reading/Writing,Entrepreneur,Education,Medium,Data Science,Needs Improvement
2.23,20,Science,Visual,Scientist,Arts,High,Data Science,Consistent
3.35,10,Math,Visual,Scientist,Technology,Medium,Education,Consistent
3.53,27,History,Reading/Writing,Entrepreneur,Finance,High,Data Science,Consistent
3.85,16,Science,Visual,Engineer,Arts,Low,Finance,Organized
3.52,23,History,Reading/Writing,Artist,Education,Medium,Data Science,Irregular
2.53,38,Business,Auditory,Entrepreneur,Education,High,Data Science,Irregular
1.75,19,History,Auditory,Entrepreneur,Arts,High,Data Science,Irregular
1.87,20,Business,Visual,Artist,Education,Low,Education,Organized
2.62,31,Art,Auditory,Doctor,Health,High,Education,Organized
3.56,30,Art,Kinesthetic,Entrepreneur,Health,Low,Medicine,Irregular
2.82,12,Science,Reading/Writing,Artist,Arts,High,Graphic Design,Needs Improvement
1.81,10,Business,Kinesthetic,Artist,Finance,Low,Education,Irregular
3.97,14,Business,Kinesthetic,Doctor,Finance,High,Finance,Organized
1.34,34,Business,Kinesthetic,Engineer,Technology,Medium,Finance,Irregular
3.56,17,Business,Kinesthetic,Engineer,Technology,High,Finance,Organized
1.73,30,History,Kinesthetic,Entrepreneur,Arts,High,Graphic Design,Needs Improvement
3.78,35,Math,Kinesthetic,Doctor,Technology,Medium,Data Science,Organized
1.92,39,Art,Visual,Entrepreneur,Health,High,Data Science,Needs Improvement
3.02,34,Science,Kinesthetic,Engineer,Arts,Medium,Graphic Design,Last-Minute
1.1,11,Math,Auditory,Engineer,Education,Medium,Education,Irregular
2.05,32,History,Reading/Writing,Artist,Education,High,Finance,Consistent
1.39,14,Math,Visual,Doctor,Health,Low,Data Science,Needs Improvement
3.37,36,Business,Visual,Entrepreneur,Education,Low,Medicine,Irregular
1.1,17,Business,Auditory,Scientist,Arts,Low,Graphic Design,Needs Improvement
2.37,25,Art,Visual,Engineer,Finance,Medium,Finance,Consistent
1.34,35,Art,Reading/Writing,Doctor,Health,Medium,Medicine,Irregular
2.96,30,Science,Reading/Writing,Scientist,Health,High,Graphic Design,Irregular
1.28,11,Science,Auditory,Entrepreneur,Education,Medium,Data Science,Needs Improvement
2.83,40,Math,Kinesthetic,Engineer,Health,Low,Data Science,Last-Minute
2.63,5,Art,Visual,Engineer,Education,High,Finance,Last-Minute
1.65,6,Art,Kinesthetic,Doctor,Technology,High,Finance,Last-Minute
1.22,34,Business,Kinesthetic,Artist,Arts,High,Graphic Design,Consistent
3.72,32,History,Visual,Scientist,Education,Low,Graphic Design,Needs Improvement
2.04,38,Business,Visual,Entrepreneur,Technology,Medium,Education,Irregular
2.28,30,Art,Reading/Writing,Doctor,Education,Low,Data Science,Consistent
2.85,9,Math,Reading/Writing,Entrepreneur,Health,High,Graphic Design,Consistent
1.98,24,Art,Visual,Artist,Health,Medium,Finance,Needs Improvement
1.52,5,Business,Visual,Engineer,Technology,High,Graphic Design,Needs Improvement
3.43,12,History,Reading/Writing,Scientist,Technology,Low,Finance,Consistent
1.21,18,History,Auditory,Entrepreneur,Finance,Low,Finance,Last-Minute
2.78,25,Art,Reading/Writing,Artist,Education,Low,Data Science,Needs Improvement
3.84,38,History,Reading/Writing,Artist,Technology,Medium,Education,Needs Improvement
3.21,15,History,Kinesthetic,Scientist,Finance,Medium,Finance,Consistent
3.92,29,Art,Kinesthetic,Scientist,Education,Low,Medicine,Needs Improvement
2.24,8,Business,Reading/Writing,Artist,Finance,Low,Graphic Design,Needs Improvement
1.77,16,Science,Kinesthetic,Doctor,Technology,Low,Data Science,Last-Minute
3.74,27,Business,Reading/Writing,Engineer,Education,High,Graphic Design,Organized
3.1,16,History,Reading/Writing,Artist,Health,Medium,Data Science,Consistent
3.94,23,Science,Visual,Scientist,Technology,Medium,Education,Needs Improvement
3.35,31,Art,Reading/Writing,Engineer,Finance,Low,Medicine,Consistent
3.79,6,Business,Reading/Writing,Scientist,Finance,High,Graphic Design,Organized
3.67,29,Science,Kinesthetic,Engineer,Finance,High,Finance,Organized
1.58,28,History,Reading/Writing,Artist,Arts,High,Data Science,Last-Minute
2.07,36,Art,Kinesthetic,Engineer,Education,Low,Data Science,Organized
1.22,22,Science,Kinesthetic,Scientist,Education,Medium,Data Science,Organized
1.61,5,Science,Auditory,Artist,Education,Medium,Graphic Design,Organized
1.3,35,Science,Auditory,Entrepreneur,Technology,High,Finance,Consistent
2.58,14,Art,Reading/Writing,Doctor,Technology,High,Finance,Needs Improvement
1.42,30,Art,Kinesthetic,Engineer,Technology,Medium,Data Science,Organized
2.89,38,History,Auditory,Doctor,Technology,High,Graphic Design,Consistent
1.94,32,History,Kinesthetic,Doctor,Education,Medium,Medicine,Needs Improvement
2.14,21,Science,Auditory,Scientist,Technology,Medium,Data Science,Organized
1.45,22,Math,Kinesthetic,Engineer,Health,Low,Data Science,Last-Minute
3.43,7,History,Auditory,Scientist,Finance,High,Education,Irregular
1.36,40,Art,Kinesthetic,Artist,Health,Medium,Data Science,Organized
2.19,39,Science,Kinesthetic,Engineer,Technology,High,Data Science,Organized
1.26,18,History,Kinesthetic,Engineer,Technology,High,Data Science,Irregular
2.12,20,Math,Auditory,Engineer,Health,Medium,Medicine,Last-Minute
1.84,17,Math,Kinesthetic,Entrepreneur,Finance,Medium,Data Science,Last-Minute
1.94,33,Business,Reading/Writing,Doctor,Arts,Medium,Medicine,Last-Minute
1.78,18,Business,Reading/Writing,Engineer,Technology,Medium,Education,Irregular
2.33,6,Science,Reading/Writing,Engineer,Technology,Medium,Medicine,Last-Minute
1.64,15,History,Auditory,Engineer,Arts,Low,Medicine,Organized
3.09,18,Art,Auditory,Doctor,Education,Low,Medicine,Last-Minute
2.31,16,Business,Auditory,Scientist,Finance,Medium,Education,Consistent
1.05,36,Science,Kinesthetic,Doctor,Health,Low,Education,Organized
1.01,39,Math,Kinesthetic,Doctor,Technology,Low,Finance,Irregular
1.5,11,History,Auditory,Scientist,Education,Medium,Education,Organized
3.35,21,Math,Kinesthetic,Doctor,Education,Medium,Data Science,Organized
2.46,19,Business,Visual,Doctor,Technology,High,Education,Consistent
3.36,19,History,Kinesthetic,Doctor,Health,High,Medicine,Needs Improvement
2.21,30,Business,Visual,Artist,Technology,High,Graphic Design,Consistent
3.35,23,Science,Visual,Engineer,Technology,Low,Medicine,Consistent
2.63,25,History,Kinesthetic,Doctor,Technology,Low,Graphic Design,Consistent
3.4,32,Business,Visual,Scientist,Health,Medium,Finance,Organized
2.26,30,Business,Kinesthetic,Scientist,Arts,Low,Education,Irregular
1.88,15,Business,Visual,Scientist,Arts,High,Finance,Organized
2.87,6,Science,Reading/Writing,Scientist,Arts,Medium,Finance,Consistent
2.44,30,History,Kinesthetic,Doctor,Arts,Low,Finance,Consistent
2.99,33,Art,Visual,Scientist,Finance,Low,Education,Needs Improvement
2.69,26,Business,Auditory,Entrepreneur,Finance,Medium,Education,Last-Minute
1.99,30,History,Auditory,Artist,Health,Low,Education,Organized
2.48,30,Art,Kinesthetic,Entrepreneur,Technology,Medium,Medicine,Needs Improvement
1.04,35,Art,Auditory,Scientist,Education,Low,Graphic Design,Organized
3.5,14,Science,Visual,Doctor,Technology,Low,Data Science,Organized
1.81,37,Art,Reading/Writing,Engineer,Education,High,Data Science,Organized
2.89,24,Business,Kinesthetic,Entrepreneur,Education,Low,Medicine,Irregular
1.01,31,Art,Kinesthetic,Engineer,Education,High,Graphic Design,Irregular
1.22,15,Math,Kinesthetic,Scientist,Health,Medium,Medicine,Last-Minute
3.35,32,Science,Auditory,Scientist,Education,High,Education,Irregular
2.34,14,Math,Kinesthetic,Scientist,Arts,Low,Graphic Design,Last-Minute
3.27,6,Math,Visual,Scientist,Arts,Medium,Graphic Design,Irregular
2.53,7,Business,Visual,Doctor,Technology,Low,Education,Consistent
3.65,26,Science,Kinesthetic,Artist,Finance,High,Education,Needs Improvement
1.92,26,Science,Auditory,Doctor,Education,Low,Graphic Design,Last-Minute
1.21,12,Art,Reading/Writing,Doctor,Finance,Low,Data Science,Consistent
1.34,18,Science,Visual,Entrepreneur,Arts,Low,Graphic Design,Last-Minute
1.54,32,History,Auditory,Doctor,Technology,Medium,Graphic Design,Last-Minute
2.17,31,Art,Reading/Writing,Engineer,Technology,High,Data Science,Irregular
1.65,18,Math,Reading/Writing,Engineer,Education,High,Finance,Needs Improvement
1.9,8,Science,Reading/Writing,Engineer,Finance,Low,Finance,Organized
1.51,20,Business,Visual,Entrepreneur,Finance,Medium,Data Science,Last-Minute
2.96,27,Math,Kinesthetic,Scientist,Finance,Low,Finance,Organized
2.54,35,Math,Auditory,Doctor,Finance,Low,Medicine,Last-Minute
2.85,31,Science,Visual,Entrepreneur,Arts,Low,Medicine,Last-Minute
2.78,36,Math,Kinesthetic,Doctor,Education,Medium,Graphic Design,Irregular
3.45,34,Business,Reading/Writing,Entrepreneur,Arts,Medium,Finance,Last-Minute
1.17,10,History,Visual,Entrepreneur,Arts,High,Education,Last-Minute
2.4,17,History,Auditory,Artist,Health,Low,Data Science,Last-Minute
3.03,5,History,Reading/Writing,Entrepreneur,Education,Medium,Graphic Design,Organized
2.91,11,History,Reading/Writing,Engineer,Education,Low,Data Science,Consistent
3.71,13,Business,Kinesthetic,Engineer,Technology,Low,Data Science,Needs Improvement
2.12,5,Business,Auditory,Scientist,Finance,Medium,Education,Organized
3.11,26,History,Kinesthetic,Engineer,Finance,Low,Finance,Last-Minute
2.82,36,Math,Visual,Engineer,Technology,Medium,Graphic Design,Needs Improvement
3.76,12,Business,Reading/Writing,Entrepreneur,Arts,Medium,Education,Irregular
2.09,33,Business,Kinesthetic,Entrepreneur,Technology,High,Graphic Design,Irregular
3.85,12,Art,Reading/Writing,Doctor,Education,Low,Finance,Irregular
2.33,40,Business,Kinesthetic,Entrepreneur,Health,High,Education,Irregular
1.9,16,History,Reading/Writing,Entrepreneur,Arts,High,Medicine,Irregular
2.14,35,Science,Reading/Writing,Scientist,Health,High,Graphic Design,Consistent
1.76,14,Math,Auditory,Doctor,Health,High,Graphic Design,Last-Minute
2.27,32,Science,Reading/Writing,Artist,Arts,High,Graphic Design,Consistent
1.97,40,Business,Kinesthetic,Doctor,Arts,High,Data Science,Needs Improvement
1.75,18,Science,Auditory,Scientist,Arts,Medium,Graphic Design,Last-Minute
1.71,34,Math,Auditory,Engineer,Finance,High,Data Science,Last-Minute
1.38,24,Math,Auditory,Artist,Education,High,Finance,Consistent
1.43,26,Science,Reading/Writing,Scientist,Arts,Low,Education,Needs Improvement
3.07,8,Business,Reading/Writing,Artist,Education,Low,Finance,Last-Minute
2.24,36,History,Visual,Engineer,Education,Medium,Education,Last-Minute
4.0,23,Math,Reading/Writing,Engineer,Health,High,Medicine,Needs Improvement
1.12,5,Math,Reading/Writing,Artist,Education,Low,Finance,Needs Improvement
3.41,16,Business,Visual,Scientist,Education,Low,Data Science,Last-Minute
3.52,5,Art,Visual,Entrepreneur,Finance,Medium,Medicine,Needs Improvement
3.53,30,History,Kinesthetic,Artist,Technology,High,Finance,Last-Minute
2.23,23,Business,Reading/Writing,Engineer,Arts,Medium,Education,Organized
1.09,35,Art,Auditory,Entrepreneur,Education,High,Education,Organized
1.21,15,Business,Visual,Artist,Education,High,Graphic Design,Irregular
3.3,12,Art,Visual,Scientist,Health,High,Finance,Organized
1.0,20,History,Reading/Writing,Scientist,Arts,Medium,Finance,Organized
3.78,37,History,Kinesthetic,Doctor,Finance,High,Graphic Design,Irregular
1.83,8,Art,Auditory,Scientist,Arts,High,Education,Last-Minute
2.08,40,Science,Kinesthetic,Artist,Education,Medium,Education,Organized
2.3,38,Business,Kinesthetic,Artist,Health,Medium,Finance,Organized
3.14,23,Math,Visual,Artist,Health,Low,Graphic Design,Irregular
3.15,6,Art,Auditory,Scientist,Arts,Medium,Medicine,Organized
3.76,29,Math,Reading/Writing,Engineer,Finance,Medium,Finance,Consistent
3.43,11,Science,Visual,Doctor,Education,Medium,Graphic Design,Organized
3.31,13,Science,Reading/Writing,Doctor,Health,Low,Data Science,Consistent
1.69,22,Art,Auditory,Engineer,Education,Low,Graphic Design,Irregular
1.5,8,History,Visual,Scientist,Arts,High,Education,Last-Minute
2.68,36,Math,Reading/Writing,Entrepreneur,Health,Medium,Finance,Organized
1.24,21,History,Auditory,Engineer,Arts,Medium,Medicine,Irregular
3.7,12,History,Visual,Scientist,Health,High,Graphic Design,Last-Minute
3.17,13,History,Kinesthetic,Doctor,Health,High,Data Science,Needs Improvement
1.42,18,Math,Reading/Writing,Scientist,Health,Medium,Education,Last-Minute
3.34,22,Science,Kinesthetic,Doctor,Finance,Medium,Finance,Last-Minute
3.94,27,History,Kinesthetic,Entrepreneur,Finance,Medium,Medicine,Consistent
2.55,9,History,Reading/Writing,Entrepreneur,Finance,Low,Graphic Design,Last-Minute
3.97,22,History,Auditory,Artist,Arts,High,Data Science,Irregular
3.31,33,Science,Reading/Writing,Doctor,Health,Medium,Graphic Design,Organized
2.35,27,Art,Auditory,Engineer,Arts,High,Medicine,Needs Improvement
3.78,22,History,Auditory,Engineer,Arts,Medium,Education,Irregular
3.7,24,Business,Reading/Writing,Scientist,Health,Medium,Data Science,Irregular
3.76,40,Science,Visual,Doctor,Education,Low,Finance,Irregular
3.49,36,Science,Kinesthetic,Doctor,Finance,High,Graphic Design,Consistent
2.24,11,History,Reading/Writing,Entrepreneur,Arts,High,Medicine,Irregular
1.63,24,Math,Auditory,Entrepreneur,Arts,Low,Medicine,Consistent
1.17,25,Science,Kinesthetic,Engineer,Technology,High,Data Science,Last-Minute
3.63,25,Math,Reading/Writing,Entrepreneur,Technology,Low,Education,Last-Minute
1.93,14,Business,Kinesthetic,Doctor,Technology,Low,Graphic Design,Irregular
3.17,20,Business,Auditory,Engineer,Arts,Medium,Medicine,Irregular
1.39,18,Science,Visual,Doctor,Finance,High,Medicine,Irregular
2.28,14,Science,Reading/Writing,Artist,Arts,Medium,Education,Irregular
2.0,25,History,Kinesthetic,Entrepreneur,Arts,High,Graphic Design,Last-Minute
1.7,6,Science,Visual,Artist,Technology,High,Data Science,Last-Minute
1.5,31,History,Reading/Writing,Doctor,Finance,Medium,Finance,Needs Improvement
3.43,35,Math,Auditory,Artist,Education,Low,Data Science,Last-Minute
1.43,31,Business,Reading/Writing,Doctor,Education,Low,Medicine,Organized
4.0,29,Science,Kinesthetic,Artist,Arts,Low,Education,Irregular
2.04,33,History,Reading/Writing,Scientist,Technology,Medium,Data Science,Organized
1.41,27,Business,Auditory,Artist,Technology,Medium,Education,Irregular
2.81,13,Math,Auditory,Engineer,Education,High,Finance,Organized
3.45,19,Art,Auditory,Engineer,Technology,High,Medicine,Last-Minute
3.27,6,Science,Reading/Writing,Scientist,Education,Low,Data Science,Needs Improvement
3.31,32,Science,Kinesthetic,Doctor,Health,High,Graphic Design,Organized
2.08,40,Art,Reading/Writing,Doctor,Arts,High,Finance,Organized
3.2,31,Art,Reading/Writing,Entrepreneur,Finance,High,Finance,Needs Improvement
1.89,18,Art,Reading/Writing,Scientist,Finance,Medium,Education,Irregular
3.13,24,Business,Visual,Artist,Health,Low,Graphic Design,Needs Improvement
2.99,8,Math,Visual,Entrepreneur,Education,Medium,Data Science,Organized
3.15,19,Art,Visual,Engineer,Health,Medium,Graphic Design,Last-Minute
2.17,5,Science,Visual,Doctor,Education,High,Medicine,Organized
2.99,40,Math,Reading/Writing,Artist,Technology,Low,Finance,Consistent
1.44,16,History,Reading/Writing,Entrepreneur,Arts,High,Medicine,Consistent
1.18,30,Math,Reading/Writing,Entrepreneur,Technology,High,Finance,Needs Improvement
1.36,25,Art,Auditory,Entrepreneur,Education,High,Data Science,Organized
3.16,16,Art,Auditory,Entrepreneur,Health,Low,Data Science,Irregular
3.98,38,Math,Visual,Doctor,Finance,Low,Finance,Organized
2.59,25,Business,Kinesthetic,Artist,Arts,High,Graphic Design,Needs Improvement
1.72,28,Math,Visual,Entrepreneur,Health,High,Education,Irregular
1.55,38,Business,Reading/Writing,Engineer,Technology,Low,Medicine,Last-Minute
2.15,38,Math,Kinesthetic,Entrepreneur,Technology,Medium,Graphic Design,Last-Minute
3.82,21,Science,Reading/Writing,Artist,Arts,High,Data Science,Last-Minute
1.03,19,Math,Auditory,Scientist,Education,High,Graphic Design,Consistent
2.74,40,Business,Kinesthetic,Artist,Education,Medium,Graphic Design,Last-Minute
3.21,28,Business,Kinesthetic,Engineer,Arts,High,Medicine,Needs Improvement
2.58,17,Science,Auditory,Artist,Technology,Low,Finance,Irregular
1.74,36,Science,Auditory,Entrepreneur,Arts,Medium,Data Science,Organized
3.2,16,Math,Auditory,Doctor,Health,Low,Data Science,Last-Minute
3.61,34,Business,Kinesthetic,Artist,Technology,Low,Medicine,Consistent
3.04,23,History,Visual,Artist,Health,Medium,Medicine,Organized
2.14,27,Science,Kinesthetic,Engineer,Health,Medium,Education,Organized
2.14,9,Science,Auditory,Artist,Education,Medium,Graphic Design,Needs Improvement
3.05,26,History,Reading/Writing,Artist,Finance,Medium,Education,Needs Improvement
3.12,7,Business,Visual,Engineer,Education,High,Education,Irregular
3.18,17,Science,Visual,Doctor,Education,Low,Graphic Design,Irregular
1.23,6,Business,Kinesthetic,Entrepreneur,Technology,High,Education,Needs Improvement
2.56,28,History,Reading/Writing,Artist,Health,High,Data Science,Needs Improvement
3.67,14,Math,Kinesthetic,Entrepreneur,Health,Medium,Medicine,Organized
1.24,20,Science,Kinesthetic,Scientist,Education,Medium,Medicine,Organized
3.31,13,Business,Auditory,Engineer,Arts,Medium,Graphic Design,Last-Minute
1.93,24,Science,Kinesthetic,Entrepreneur,Education,Medium,Finance,Irregular
3.62,31,Business,Reading/Writing,Artist,Health,Medium,Medicine,Organized
1.04,12,History,Kinesthetic,Scientist,Health,Medium,Data Science,Consistent
3.79,35,Math,Visual,Engineer,Finance,High,Data Science,Irregular
2.1,29,History,Kinesthetic,Scientist,Education,Medium,Education,Last-Minute
2.08,34,History,Visual,Entrepreneur,Technology,High,Data Science,Organized
3.21,23,Science,Auditory,Artist,Technology,Low,Graphic Design,Organized
3.32,38,Business,Kinesthetic,Scientist,Health,Low,Graphic Design,Needs Improvement
2.26,10,Science,Reading/Writing,Engineer,Technology,Low,Medicine,Last-Minute
2.41,18,History,Reading/Writing,Artist,Technology,High,Finance,Last-Minute
1.41,33,Art,Kinesthetic,Artist,Education,Low,Education,Organized
3.94,21,History,Visual,Entrepreneur,Finance,Medium,Finance,Last-Minute
2.44,25,Science,Kinesthetic,Scientist,Finance,High,Graphic Design,Organized
1.02,17,History,Auditory,Entrepreneur,Arts,Medium,Education,Organized
3.73,32,Business,Reading/Writing,Scientist,Health,Low,Medicine,Last-Minute
1.21,40,Science,Auditory,Doctor,Finance,Medium,Education,Last-Minute
2.07,37,Business,Reading/Writing,Artist,Health,Medium,Education,Consistent
1.58,24,Business,Reading/Writing,Artist,Finance,Low,Education,Irregular
2.53,29,Business,Kinesthetic,Engineer,Technology,Medium,Medicine,Irregular
1.57,37,History,Reading/Writing,Doctor,Finance,Medium,Medicine,Needs Improvement
3.41,18,Art,Visual,Artist,Finance,High,Graphic Design,Organized
2.58,13,Business,Auditory,Entrepreneur,Arts,Medium,Education,Consistent
3.65,21,Math,Reading/Writing,Artist,Health,Low,Graphic Design,Consistent
3.55,22,Business,Kinesthetic,Artist,Education,Medium,Finance,Consistent
2.53,40,Art,Visual,Doctor,Education,Low,Finance,Irregular
3.94,29,Business,Kinesthetic,Artist,Finance,Medium,Education,Irregular
3.43,19,Art,Reading/Writing,Engineer,Arts,Low,Finance,Needs Improvement
3.81,40,History,Reading/Writing,Entrepreneur,Education,Medium,Medicine,Irregular
1.11,6,Math,Kinesthetic,Scientist,Technology,High,Education,Consistent
3.87,40,History,Kinesthetic,Entrepreneur,Arts,Medium,Finance,Organized
1.25,8,Art,Auditory,Engineer,Arts,Low,Data Science,Organized
2.65,35,Art,Reading/Writing,Scientist,Finance,High,Medicine,Last-Minute
1.53,37,Art,Auditory,Entrepreneur,Health,Low,Medicine,Consistent
2.16,9,Business,Auditory,Engineer,Arts,Low,Finance,Last-Minute
2.9,12,Science,Kinesthetic,Doctor,Health,Low,Medicine,Consistent
3.8,23,Business,Auditory,Artist,Technology,Low,Medicine,Needs Improvement
1.72,25,Business,Visual,Scientist,Health,Medium,Finance,Needs Improvement
2.37,8,Business,Kinesthetic,Doctor,Education,Medium,Finance,Consistent
3.79,20,Math,Visual,Artist,Health,Medium,Medicine,Last-Minute
2.39,40,Math,Reading/Writing,Doctor,Health,Low,Data Science,Consistent
2.64,36,Art,Kinesthetic,Entrepreneur,Health,Medium,Medicine,Last-Minute
1.94,37,Business,Auditory,Entrepreneur,Finance,Medium,Education,Last-Minute
1.13,33,Math,Kinesthetic,Scientist,Finance,Low,Medicine,Irregular
1.94,16,Art,Reading/Writing,Engineer,Technology,Medium,Education,Irregular
1.23,8,History,Reading/Writing,Doctor,Finance,Low,Data Science,Irregular
1.81,25,Math,Reading/Writing,Scientist,Technology,High,Data Science,Organized
2.97,24,Art,Kinesthetic,Engineer,Finance,Low,Data Science,Irregular
3.53,11,History,Reading/Writing,Scientist,Technology,Low,Graphic Design,Irregular
1.46,13,Art,Auditory,Artist,Finance,Low,Medicine,Irregular
1.08,38,Art,Kinesthetic,Artist,Health,Low,Finance,Last-Minute
2.22,35,Business,Reading/Writing,Doctor,Technology,Medium,Medicine,Irregular
2.71,29,History,Visual,Scientist,Finance,Medium,Data Science,Organized
1.4,27,Business,Visual,Engineer,Education,High,Education,Irregular
2.4,21,Math,Kinesthetic,Doctor,Technology,Low,Medicine,Needs Improvement
2.66,32,History,Kinesthetic,Doctor,Technology,Low,Education,Consistent
2.49,19,Art,Auditory,Doctor,Health,Medium,Medicine,Needs Improvement
1.85,20,Math,Kinesthetic,Scientist,Finance,High,Education,Needs Improvement
1.03,28,Math,Kinesthetic,Artist,Technology,Low,Graphic Design,Irregular
3.98,14,Science,Reading/Writing,Scientist,Education,Medium,Education,Needs Improvement
1.87,32,History,Kinesthetic,Scientist,Technology,Medium,Finance,Last-Minute
1.68,12,History,Visual,Engineer,Education,Low,Medicine,Irregular
1.97,16,Science,Visual,Scientist,Finance,Medium,Finance,Consistent
2.91,5,Business,Reading/Writing,Engineer,Finance,High,Graphic Design,Consistent
2.27,18,Science,Visual,Entrepreneur,Health,High,Finance,Needs Improvement
2.7,6,Math,Auditory,Scientist,Education,High,Finance,Irregular
1.28,34,History,Kinesthetic,Doctor,Arts,High,Medicine,Consistent
2.83,25,Art,Auditory,Scientist,Health,High,Data Science,Last-Minute
1.9,24,Math,Visual,Doctor,Education,Medium,Medicine,Needs Improvement
1.04,28,Math,Reading/Writing,Scientist,Education,Low,Finance,Needs Improvement
3.01,10,Art,Kinesthetic,Entrepreneur,Arts,Low,Graphic Design,Consistent
3.9,16,Math,Reading/Writing,Entrepreneur,Health,High,Education,Consistent
3.25,10,History,Visual,Scientist,Finance,High,Medicine,Last-Minute
1.41,17,Math,Reading/Writing,Artist,Health,High,Data Science,Irregular
2.36,34,History,Auditory,Entrepreneur,Finance,Medium,Finance,Consistent
2.47,22,History,Reading/Writing,Scientist,Education,Low,Graphic Design,Consistent
1.79,25,Math,Reading/Writing,Engineer,Education,High,Data Science,Needs Improvement
3.89,29,History,Auditory,Entrepreneur,Arts,Low,Education,Last-Minute
